C3 Sales Executives Departing in 2022  
Name  ,Title  ,Departure  ,Tenure  
Ioannis Stavridis  ,"VP, Sales, DACH  ",Dec 22  ,1 year  
Hanaa Bengtsson  ,"VP, Sales, Financial Services  ",Nov 22  ,3 years  
Marc Cavell  ,"VP, Financial Services  ",Oct 22  ,1 year  
David Armstrong  ,"VP, Ex Machina Sales  ",Sept 22  ,2 years  
Rohit Prakash  ,Group VP  ,Aug 22  ,<1 year  
Tilemachos Koulouris  ,"Group VP, EMEA  ",Jul 22  ,1 year  
Tim McGuire  ,"VP, Sales, North America Central  ",Jun 22  ,2 years  
Umesh Anand  ,"VP, Sales  ",May 22  ,2 years  
Lee Walinsky  ,"VP, Sales, North America West  ",Apr 22  ,1.5 years  
Rohit Khera  ,"VP, Sales, Oil & Gas  ",Apr 22  ,<1 year  
Steve Sundstrom  ,"Group VP, Utility Segment  ",Feb 22  ,8 years  
Gene Reznik  ,"GM, Industries & Alliances  ",Jan 22  ,1.5 years  
Ken Laversin  ,GM  ,Jan 22  ,1 year  
