Sugar  Bulk Raws  ,Cash Values  Shipment  ,Basis  ,FOBs  Bid / Offer  
Santos VHP  ,July  ,V23  ,+9 value  
Santos VHP  ,Aug  ,V23  ,-5 / +5  
Santos VHP  ,Sept  ,V23  ,+5 offer  
Santos VHP  ,Q4 23  ,V23  ,flat value  
Thai Hi-Pol  ,July/Sep  ,V23  ,+140 / +180  
Thai Hi-Pol  ,Q1 24  ,H24  ,+125 / +135  
Thai Hi-Pol  ,Q2 24  ,H24  ,+130 traded  
WCI 45s toll  ,July  ,#5 Q23  ,+$25 offer  
Cnt Whites  ,Shipment  ,Basis  ,Bid / Offer  
Thai 45s  ,July  ,#5 Q23  ,+$37 offer  
Santos 45s  ,July  ,#5 Q23  ,+$25 offer  
Santos 150s  ,July  ,#11 V23  ,+$80 / +$83  
Dubai 45s  ,July  ,#5 Q23  ,+$50 offer  
