Contract  ,Settle  ,Change  ,%  ,,Open  ,High  ,Low  ,Volume  ,O.I.  ,+/- O.I.  
July 23  ,22.89  ,+0.82  ,+3.72%  ,,22.30  ,22.96  ,22.28  ,"2,254  ","8,939  ","-10,989  "
Oct 23  ,22.79  ,+0.71  ,+3.22%  ,,22.18  ,23.09  ,22.17  ,"81,854  ","395,321  ","-4,175  "
Mar 24  ,22.89  ,+0.66  ,+2.97%  ,,22.26  ,23.15  ,22.26  ,"34,691  ","199,800  ","+2,463  "
May 24  ,21.64  ,+0.47  ,+2.22%  ,,21.14  ,21.87  ,21.14  ,"15,987  ","85,794  ","+2,248  "
July 24  ,21.10  ,+0.41  ,+1.98%  ,,20.71  ,21.30  ,20.71  ,"9,195  ","94,350  ",-262  
Oct 24  ,20.85  ,+0.37  ,+1.81%  ,,20.54  ,21.03  ,20.54  ,"2,531  ","41,265  ",-38  
Mar 25  ,20.81  ,+0.33  ,+1.61%  ,,20.51  ,21.00  ,20.51  ,"1,308  ","23,821  ",-184  
May 25  ,19.87  ,+0.32  ,+1.64%  ,,19.65  ,20.01  ,19.65  ,443  ,"6,500  ",-187  
July 25  ,19.42  ,+0.37  ,+1.94%  ,,19.17  ,19.52  ,19.17  ,299  ,"6,332  ",-36  
Oct 25  ,19.37  ,+0.45  ,+2.38%  ,,19.03  ,19.41  ,19.03  ,233  ,"4,639  ",+8  
Mar 26  ,19.50  ,+0.52  ,+2.74%  ,,19.06  ,19.50  ,19.06  ,194  ,"2,414  ",+2  
May 26  ,18.95  ,+0.48  ,+2.60%  ,,18.56  ,18.91  ,18.56  ,32  ,901  ,+75  
Total  ,,,,,,,,"149,021 870,076  ",,"-11,075  "
#11 Options  ,O.I.  , ,,Month  ,Straddle  ,Price  ,Imp Vol  ,#11 Spreads  ,Last  ,Change  
Calls  ,"355,430  ","+8,018  ",,Oct23  ,22.75  ,242  ,29.33%  ,July/Oct  ,0.10  ,+0.11  
Puts  ,"330,233  ","+2,704  ",,Mar24  ,23.00  ,357  ,25.39%  ,Oct/March  ,-0.10  ,+0.05  
Total  ,"685,663  ",,,May24  ,21.75  ,349  ,23.64%  ,March/May  ,1.25  ,+0.19  
,,,,,,Volume  ,"30,104  ",May/July  ,0.54  ,+0.06  
